20113	MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO
22000	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO
24000	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO
25000	MINISTERIO DA FAZENDA
26000	MINISTERIO DA EDUCACAO
28000	MINISTERIO DO DESENV,IND. E COMERCIO EXTERIOR
30000	MINISTERIO DA JUSTICA
32000	MINISTERIO DE MINAS E ENERGIA
33000	MINISTERIO DA PREVIDENCIA SOCIAL
35000	MINISTERIO DAS RELACOES EXTERIORES
36000	MINISTERIO DA SAUDE
38000	MINISTERIO DO TRABALHO E EMPREGO
39000	MINISTERIO DOS TRANSPORTES
41000	MINISTERIO DAS COMUNICACOES
42000	MINISTERIO DA CULTURA
44000	MINISTERIO DO MEIO AMBIENTE
49000	MINISTERIO DO DESENVOLVIMENTO AGRARIO
51000	MINISTERIO DO ESPORTE
52000	MINISTERIO DA DEFESA
53000	MINISTERIO DA INTEGRACAO NACIONAL
54000	MINISTERIO DO TURISMO
55000	MINISTERIO DO DESENV. SOCIAL E COMBATE A FOME
56000	MINISTERIO DAS CIDADES
58000	MINISTERIO DA PESCA E AQUICULTURA
20000	PRESIDENCIA DA REPUBLICA
